0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.89408875,1.2041955,0.0,4.1387453,4.4382124,0.0,0.0,3.0310695,1.032095,0.0,0.0,1.9185656,0.34450936,0.0,0.0,1.2280418
0.8958617,1.2147698,0.0,4.1189094,4.4242306,0.0,0.0,3.0042436,1.0331334,0.0,0.0,1.9136413,0.35024878,0.0,0.0,1.2322783
0.9013014,1.2097609,0.0,4.140884,4.450808,0.0,0.0,3.0428157,1.0338032,0.0,0.0,1.9337916,0.34823054,0.0,0.0,1.2348096
0.9067412,1.2047515,0.0,4.162858,4.477387,0.0,0.0,3.0813878,1.0344735,0.0,0.0,1.9539412,0.34621274,0.0,0.0,1.2373406
0.9122305,1.1997457,0.0,4.184869,4.504134,0.0,0.0,3.1199112,1.0350357,0.0,0.0,1.9738942,0.34399384,0.0,0.0,1.2400748
0.917729,1.1947414,0.0,4.206891,4.53092,0.0,0.0,3.158423,1.0355705,0.0,0.0,1.9937979,0.34172803,0.0,0.0,1.2428552
0.9795459,1.2582803,0.0,4.2507544,4.653411,0.0,0.0,3.2382538,1.0595704,0.0,0.0,2.118308,0.33054823,0.0,0.0,1.3289875
0.9937892,1.2984805,0.0,4.255283,4.6869297,0.0,0.0,3.245712,1.0781804,0.0,0.0,2.155052,0.31009156,0.0,0.0,1.3683009
0.9853885,1.2892977,0.0,4.2103915,4.636121,0.0,0.0,3.1766586,1.059223,0.0,0.0,2.106416,0.3241723,0.0,0.0,1.3498704
0.97806895,1.2797378,0.0,4.196145,4.6148553,0.0,0.0,3.1533546,1.0493026,0.0,0.0,2.0821292,0.32803315,0.0,0.0,1.3376577
0.9707501,1.270177,0.0,4.1818986,4.59359,0.0,0.0,3.13005,1.0393825,0.0,0.0,2.0578425,0.33189338,0.0,0.0,1.3254452
0.96343136,1.260617,0.0,4.1676507,4.572324,0.0,0.0,3.1067452,1.0294615,0.0,0.0,2.033556,0.3357527,0.0,0.0,1.3132327
0.9703426,1.2644842,0.0,4.162561,4.575412,0.0,0.0,3.106353,1.0293555,0.0,0.0,2.041483,0.34522405,0.0,0.0,1.3161725
0.9568985,1.2792535,0.0,4.1730165,4.572376,0.0,0.0,3.125588,1.0560185,0.0,0.0,2.055081,0.3332758,0.0,0.0,1.3176363
0.9711342,1.2989391,0.0,4.2111645,4.6262803,0.0,0.0,3.1973593,1.0817049,0.0,0.0,2.117031,0.3266269,0.0,0.0,1.3404005
0.97354513,1.3269506,0.0,4.204488,4.629049,0.0,0.0,3.1908894,1.1017653,0.0,0.0,2.13458,0.32056665,0.0,0.0,1.357974
0.9744699,1.3223972,0.0,4.1672173,4.596956,0.0,0.0,3.1297293,1.0790185,0.0,0.0,2.0985177,0.3321936,0.0,0.0,1.3525008
